,postalCode,type,subtype,price,typeSale,subtypeSale,roomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
633,4690,HOUSE,HOUSE,259000.0,FOR_SALE,BUY_REGULAR,,140.0,0.0,INSTALLED,0,0,1,40.0,1,250,390,4.0,0,GOOD
634,4400,HOUSE,HOUSE,275000.0,FOR_SALE,BUY_REGULAR,,151.0,0.0,SEMI_EQUIPPED,0,0,0,,1,1278,1338,4.0,0,TO_BE_DONE_UP
635,4000,HOUSE,HOUSE,465000.0,FOR_SALE,BUY_REGULAR,,200.0,0.0,INSTALLED,0,0,1,32.0,0,0,680,4.0,0,GOOD
636,2960,HOUSE,HOUSE,595000.0,FOR_SALE,BUY_REGULAR,,259.0,0.0,INSTALLED,0,1,1,40.0,1,952,1188,4.0,0,JUST_RENOVATED
637,1380,HOUSE,VILLA,849000.0,FOR_SALE,BUY_REGULAR,,292.0,0.0,INSTALLED,0,0,1,60.0,1,1800,2041,4.0,0,GOOD
638,8510,HOUSE,HOUSE,295000.0,FOR_SALE,BUY_REGULAR,,175.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,784,4.0,0,TO_BE_DONE_UP
639,2390,HOUSE,HOUSE,469000.0,FOR_SALE,BUY_REGULAR,,246.0,0.0,INSTALLED,0,0,1,24.0,1,205,385,3.0,0,AS_NEW
640,3384,HOUSE,HOUSE,495000.0,FOR_SALE,BUY_REGULAR,,355.0,0.0,HYPER_EQUIPPED,0,0,1,20.0,1,80,500,3.0,0,AS_NEW
641,3384,HOUSE,HOUSE,545000.0,FOR_SALE,BUY_REGULAR,,355.0,0.0,HYPER_EQUIPPED,0,0,1,20.0,1,80,500,3.0,0,AS_NEW
642,1050,HOUSE,APARTMENT_BLOCK,800000.0,FOR_SALE,BUY_REGULAR,,285.0,0.0,INSTALLED,0,0,0,,0,0,65,2.0,0,GOOD
643,4520,HOUSE,HOUSE,380000.0,FOR_SALE,BUY_REGULAR,,211.0,0.0,INSTALLED,0,0,1,20.0,1,800,913,4.0,1,TO_BE_DONE_UP
644,7500,HOUSE,MANSION,590000.0,FOR_SALE,BUY_REGULAR,,554.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,731,2.0,0,
645,1160,HOUSE,MIXED_USE_BUILDING,695000.0,FOR_SALE,BUY_REGULAR,,341.0,0.0,USA_HYPER_EQUIPPED,0,0,1,27.0,0,0,189,2.0,0,TO_BE_DONE_UP
646,1410,HOUSE,VILLA,770000.0,FOR_SALE,BUY_REGULAR,,280.0,0.0,HYPER_EQUIPPED,0,0,1,45.0,0,0,2175,4.0,0,AS_NEW
647,1000,HOUSE,HOUSE,800000.0,FOR_SALE,BUY_REGULAR,,328.0,,,0,0,1,1.0,1,38,127,2.0,0,TO_BE_DONE_UP
648,6230,HOUSE,HOUSE,229000.0,FOR_SALE,BUY_REGULAR,,168.0,0.0,INSTALLED,0,0,1,30.0,1,820,960,3.0,0,GOOD
649,9000,HOUSE,HOUSE,450000.0,FOR_SALE,BUY_REGULAR,,180.0,0.0,INSTALLED,0,0,1,,0,0,58,2.0,0,
650,6970,HOUSE,HOUSE,255000.0,FOR_SALE,BUY_REGULAR,,,0.0,INSTALLED,0,0,1,,1,0,884,4.0,0,JUST_RENOVATED
651,9600,HOUSE,MANSION,439500.0,FOR_SALE,BUY_REGULAR,,200.0,0.0,SEMI_EQUIPPED,0,0,1,,0,0,80,2.0,0,GOOD
652,9600,HOUSE,MANSION,439500.0,FOR_SALE,BUY_REGULAR,,200.0,0.0,SEMI_EQUIPPED,0,0,1,,0,0,80,2.0,0,GOOD
653,1150,HOUSE,VILLA,1875000.0,FOR_SALE,BUY_REGULAR,,540.0,,,0,0,1,,0,0,620,4.0,0,AS_NEW
654,1853,HOUSE,HOUSE,285000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,USA_HYPER_EQUIPPED,0,0,0,,1,27,0,2.0,0,JUST_RENOVATED
655,1702,HOUSE,TOWN_HOUSE,399000.0,FOR_SALE,BUY_REGULAR,,183.0,0.0,HYPER_EQUIPPED,0,0,0,,1,51,225,2.0,0,GOOD
656,2221,HOUSE,HOUSE,429000.0,FOR_SALE,BUY_REGULAR,,182.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,1317,4.0,0,
657,4000,HOUSE,HOUSE,109000.0,FOR_SALE,BUY_REGULAR,,140.0,0.0,NOT_INSTALLED,0,0,1,10.0,1,250,316,3.0,0,TO_RENOVATE
658,2660,HOUSE,HOUSE,125000.0,FOR_SALE,BUY_REGULAR,,75.0,0.0,SEMI_EQUIPPED,0,0,0,,1,3,58,2.0,0,TO_RENOVATE
659,4500,HOUSE,HOUSE,189500.0,FOR_SALE,BUY_REGULAR,,80.0,0.0,SEMI_EQUIPPED,0,0,1,,0,0,992,3.0,0,GOOD
660,1040,HOUSE,APARTMENT_BLOCK,870000.0,FOR_SALE,BUY_REGULAR,,420.0,0.0,SEMI_EQUIPPED,0,0,1,10.0,1,65,160,2.0,0,TO_RENOVATE
661,6940,HOUSE,HOUSE,350000.0,FOR_SALE,BUY_REGULAR,,158.0,,,0,0,1,,0,0,2150,4.0,0,
662,4550,HOUSE,HOUSE,229500.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,INSTALLED,0,0,1,,1,0,570,4.0,0,GOOD
663,7700,HOUSE,HOUSE,235000.0,FOR_SALE,BUY_REGULAR,,115.0,0.0,SEMI_EQUIPPED,0,0,1,17.0,1,134,229,2.0,0,GOOD
664,2100,HOUSE,TOWN_HOUSE,475000.0,FOR_SALE,BUY_REGULAR,,252.0,,,0,0,1,,0,0,247,,0,
665,1050,HOUSE,HOUSE,480000.0,FOR_SALE,BUY_REGULAR,,140.0,,,0,0,1,7.0,0,0,70,2.0,0,TO_BE_DONE_UP
666,1200,HOUSE,HOUSE,2495000.0,FOR_SALE,BUY_REGULAR,8.0,460.0,0.0,HYPER_EQUIPPED,0,0,1,48.0,1,390,564,2.0,0,JUST_RENOVATED
667,6940,HOUSE,HOUSE,,FOR_SALE,LIFE_ANNUITY,,100.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,1008,4.0,0,GOOD
668,4540,HOUSE,HOUSE,69000.0,FOR_SALE,BUY_REGULAR,,110.0,0.0,NOT_INSTALLED,0,0,0,,0,0,0,2.0,0,TO_RENOVATE
669,4020,HOUSE,HOUSE,75000.0,FOR_SALE,BUY_REGULAR,,53.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,42,3.0,0,TO_BE_DONE_UP
670,4610,HOUSE,HOUSE,95000.0,FOR_SALE,BUY_REGULAR,,65.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,30,2.0,0,TO_BE_DONE_UP
671,6220,HOUSE,HOUSE,95000.0,FOR_SALE,BUY_REGULAR,,165.0,0.0,SEMI_EQUIPPED,0,0,0,,1,0,300,2.0,0,TO_RENOVATE
672,7860,HOUSE,HOUSE,95000.0,FOR_SALE,BUY_REGULAR,,120.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,50,2.0,0,GOOD
673,4040,HOUSE,HOUSE,115000.0,FOR_SALE,BUY_REGULAR,,84.0,0.0,NOT_INSTALLED,0,0,1,23.0,0,0,82,2.0,0,TO_BE_DONE_UP
674,6000,HOUSE,HOUSE,119000.0,FOR_SALE,BUY_REGULAR,,125.0,0.0,NOT_INSTALLED,0,0,1,12.0,0,0,200,2.0,0,GOOD
675,6240,HOUSE,HOUSE,119000.0,FOR_SALE,BUY_REGULAR,,130.0,0.0,SEMI_EQUIPPED,0,0,1,15.0,1,50,144,2.0,0,GOOD
676,6870,HOUSE,HOUSE,121000.0,FOR_SALE,BUY_REGULAR,,115.0,0.0,INSTALLED,0,0,0,,1,0,456,2.0,0,GOOD
677,5651,HOUSE,HOUSE,125000.0,FOR_SALE,BUY_REGULAR,,120.0,,,0,0,1,25.0,1,194,375,2.0,0,TO_BE_DONE_UP
678,6040,HOUSE,HOUSE,125000.0,FOR_SALE,BUY_REGULAR,,257.0,0.0,NOT_INSTALLED,0,0,0,,0,0,109,2.0,0,TO_RENOVATE
679,6600,HOUSE,HOUSE,125000.0,FOR_SALE,BUY_REGULAR,,,0.0,NOT_INSTALLED,0,0,0,,0,0,70,2.0,0,TO_RENOVATE
680,4683,HOUSE,HOUSE,130000.0,FOR_SALE,BUY_REGULAR,,88.0,0.0,SEMI_EQUIPPED,0,0,1,57.0,1,160,365,2.0,0,TO_BE_DONE_UP
681,6001,HOUSE,HOUSE,135000.0,FOR_SALE,BUY_REGULAR,,139.0,0.0,USA_SEMI_EQUIPPED,0,0,0,,1,110,180,2.0,0,TO_BE_DONE_UP
