,postalCode,type,subtype,price,typeSale,subtypeSale,roomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
0,1785,HOUSE,TOWN_HOUSE,435000.0,FOR_SALE,BUY_REGULAR,10.0,213.0,0.0,HYPER_EQUIPPED,0,0,1,7.0,1,138,249,2.0,0,JUST_RENOVATED
1,1150,HOUSE,HOUSE,750000.0,FOR_SALE,BUY_REGULAR,,260.0,0.0,INSTALLED,0,0,1,,0,0,110,2.0,0,GOOD
2,1150,HOUSE,APARTMENT_BLOCK,750000.0,FOR_SALE,BUY_REGULAR,,260.0,0.0,INSTALLED,0,0,1,39.0,0,0,110,2.0,0,GOOD
3,1150,HOUSE,HOUSE,990000.0,FOR_SALE,BUY_REGULAR,7.0,485.0,0.0,HYPER_EQUIPPED,0,0,1,16.0,0,0,251,2.0,0,AS_NEW
4,5030,HOUSE,HOUSE,250000.0,FOR_SALE,BUY_REGULAR,,81.0,0.0,SEMI_EQUIPPED,0,1,1,25.0,1,400,633,3.0,0,TO_BE_DONE_UP
5,3000,HOUSE,HOUSE,395000.0,FOR_SALE,BUY_REGULAR,,104.0,0.0,INSTALLED,1,0,1,6.0,0,0,49,2.0,0,GOOD
6,1600,HOUSE,HOUSE,410000.0,FOR_SALE,BUY_REGULAR,,130.0,0.0,USA_HYPER_EQUIPPED,1,0,1,10.0,1,70,250,3.0,0,AS_NEW
7,4520,HOUSE,HOUSE,309000.0,FOR_SALE,BUY_REGULAR,,170.0,0.0,SEMI_EQUIPPED,0,0,1,20.0,1,600,891,4.0,0,GOOD
8,4520,HOUSE,VILLA,309000.0,FOR_SALE,BUY_REGULAR,,170.0,0.0,SEMI_EQUIPPED,0,0,1,20.0,1,600,891,4.0,0,GOOD
9,1180,HOUSE,HOUSE,660000.0,FOR_SALE,BUY_REGULAR,13.0,200.0,0.0,USA_SEMI_EQUIPPED,0,1,0,,1,96,323,3.0,0,GOOD
10,1780,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,,287.0,0.0,HYPER_EQUIPPED,0,0,1,40.0,1,510,661,4.0,0,AS_NEW
11,1200,HOUSE,MANSION,2495000.0,FOR_SALE,BUY_REGULAR,7.0,460.0,0.0,HYPER_EQUIPPED,0,0,1,48.0,0,0,561,2.0,0,AS_NEW
12,1457,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
13,1070,HOUSE,TOWN_HOUSE,369000.0,FOR_SALE,BUY_REGULAR,,145.0,0.0,HYPER_EQUIPPED,0,0,1,17.0,0,0,148,2.0,0,GOOD
14,2850,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
15,1160,APARTMENT,APARTMENT,375000.0,FOR_SALE,BUY_REGULAR,,76.0,0.0,USA_HYPER_EQUIPPED,0,0,1,25.0,0,0,0,,0,AS_NEW
16,2200,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
17,8790,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
18,9700,APARTMENT,APARTMENT,249000.0,FOR_SALE,BUY_REGULAR,,97.0,0.0,INSTALLED,0,0,0,,0,0,0,4.0,0,GOOD
19,1080,APARTMENT,APARTMENT,275000.0,FOR_SALE,BUY_REGULAR,,98.0,0.0,HYPER_EQUIPPED,0,0,1,4.0,0,0,0,2.0,0,AS_NEW
20,9800,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
21,9000,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
22,1050,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
23,4020,APARTMENT,APARTMENT,155000.0,FOR_SALE,BUY_REGULAR,,115.0,0.0,USA_SEMI_EQUIPPED,0,0,0,,0,0,0,2.0,0,GOOD
24,4520,APARTMENT,APARTMENT,199500.0,FOR_SALE,BUY_REGULAR,,90.0,0.0,INSTALLED,0,0,1,8.0,0,0,0,3.0,0,AS_NEW
25,4520,APARTMENT,APARTMENT,212500.0,FOR_SALE,BUY_REGULAR,,90.0,0.0,INSTALLED,0,0,1,8.0,0,0,0,3.0,0,AS_NEW
26,1140,APARTMENT,APARTMENT,275000.0,FOR_SALE,BUY_REGULAR,,84.0,0.0,INSTALLED,0,0,1,6.0,0,0,0,,0,GOOD
27,1190,APARTMENT,APARTMENT,295000.0,FOR_SALE,BUY_REGULAR,,103.0,0.0,SEMI_EQUIPPED,0,0,1,25.0,0,0,0,2.0,0,GOOD
28,9000,APARTMENT_GROUP,APARTMENT_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,0,0,,0,
29,9000,APARTMENT,APARTMENT,413000.0,FOR_SALE,BUY_REGULAR,,96.0,0.0,INSTALLED,0,0,1,40.0,0,0,0,4.0,0,AS_NEW
