,postalCode,type,subtype,price,typeSale,subtypeSale,roomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
0,1150,HOUSE,HOUSE,990000.0,FOR_SALE,BUY_REGULAR,7.0,485.0,0,HYPER_EQUIPPED,0,0,1,16.0,0,0,251,2.0,0,AS_NEW
1,5030,HOUSE,HOUSE,250000.0,FOR_SALE,BUY_REGULAR,,81.0,0,SEMI_EQUIPPED,0,1,1,25.0,1,400,633,3.0,0,TO_BE_DONE_UP
2,3000,HOUSE,HOUSE,395000.0,FOR_SALE,BUY_REGULAR,,104.0,0,INSTALLED,1,0,1,6.0,0,0,49,2.0,0,GOOD
3,1600,HOUSE,HOUSE,410000.0,FOR_SALE,BUY_REGULAR,,130.0,0,USA_HYPER_EQUIPPED,1,0,1,10.0,1,70,250,3.0,0,AS_NEW
4,4520,HOUSE,HOUSE,309000.0,FOR_SALE,BUY_REGULAR,,170.0,0,SEMI_EQUIPPED,0,0,1,20.0,1,600,891,4.0,0,GOOD
5,4520,HOUSE,VILLA,309000.0,FOR_SALE,BUY_REGULAR,,170.0,0,SEMI_EQUIPPED,0,0,1,20.0,1,600,891,4.0,0,GOOD
6,1180,HOUSE,HOUSE,660000.0,FOR_SALE,BUY_REGULAR,13.0,200.0,0,USA_SEMI_EQUIPPED,0,1,0,,1,96,323,3.0,0,GOOD
7,1780,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,,287.0,0,HYPER_EQUIPPED,0,0,1,40.0,1,510,661,4.0,0,AS_NEW
8,1200,HOUSE,MANSION,2495000.0,FOR_SALE,BUY_REGULAR,7.0,460.0,0,HYPER_EQUIPPED,0,0,1,48.0,0,0,561,2.0,0,AS_NEW
9,2850,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,0,,0,0,0,,0,0,0,,0,
10,9600,HOUSE,VILLA,349000.0,FOR_SALE,BUY_REGULAR,,186.0,0,HYPER_EQUIPPED,0,0,1,30.0,1,485,992,4.0,0,GOOD
11,1457,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,0,,0,0,0,,0,0,0,,0,
12,9400,HOUSE,VILLA,460000.0,FOR_SALE,BUY_REGULAR,,225.0,0,INSTALLED,0,0,1,,0,0,1635,4.0,0,GOOD
13,3060,HOUSE,EXCEPTIONAL_PROPERTY,845000.0,FOR_SALE,BUY_REGULAR,,400.0,0,USA_HYPER_EQUIPPED,0,0,1,50.0,1,1500,1869,4.0,0,GOOD
14,4630,HOUSE,HOUSE,184000.0,FOR_SALE,BUY_REGULAR,,140.0,0,NOT_INSTALLED,0,0,0,,1,20,177,3.0,0,GOOD
15,1730,HOUSE,MIXED_USE_BUILDING,889000.0,FOR_SALE,BUY_REGULAR,,302.0,0,USA_HYPER_EQUIPPED,0,0,1,,0,0,4529,4.0,0,AS_NEW
16,9600,HOUSE,HOUSE,119500.0,FOR_SALE,BUY_REGULAR,,115.0,0,INSTALLED,0,0,0,,0,0,50,2.0,0,GOOD
17,9000,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,0,,0,0,0,,0,0,0,,0,
18,2820,HOUSE,HOUSE,425000.0,FOR_SALE,BUY_REGULAR,,182.0,0,USA_HYPER_EQUIPPED,0,0,1,30.0,1,117,175,2.0,0,AS_NEW
19,1050,HOUSE,APARTMENT_BLOCK,1390000.0,FOR_SALE,BUY_REGULAR,,350.0,0,USA_HYPER_EQUIPPED,1,0,1,54.0,1,40,150,2.0,0,AS_NEW
20,4577,HOUSE,HOUSE,295000.0,FOR_SALE,BUY_REGULAR,,120.0,0,INSTALLED,0,0,1,,0,0,3220,4.0,0,GOOD
21,4260,HOUSE,HOUSE,350000.0,FOR_SALE,BUY_REGULAR,,190.0,0,INSTALLED,0,0,1,,1,0,1355,4.0,0,AS_NEW
22,9700,HOUSE,HOUSE,359000.0,FOR_SALE,BUY_REGULAR,,196.0,0,INSTALLED,0,0,1,,1,667,921,4.0,0,GOOD
23,1190,HOUSE,MANSION,1295000.0,FOR_SALE,BUY_REGULAR,7.0,400.0,0,,0,0,1,,1,100,245,2.0,0,TO_RENOVATE
24,7180,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,0,,0,0,0,,0,0,0,,0,
25,1370,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,0,,0,0,0,,0,0,0,,0,
26,9600,HOUSE,HOUSE,259500.0,FOR_SALE,BUY_REGULAR,,152.0,0,NOT_INSTALLED,0,0,1,15.0,1,149,216,2.0,0,AS_NEW
27,1170,HOUSE,HOUSE,470000.0,FOR_SALE,BUY_REGULAR,,130.0,0,HYPER_EQUIPPED,0,0,0,,1,30,83,2.0,0,GOOD
28,8790,HOUSE,HOUSE,289000.0,FOR_SALE,BUY_REGULAR,,120.0,0,INSTALLED,0,0,1,,0,0,311,3.0,0,GOOD
29,9600,HOUSE,MANSION,220000.0,FOR_SALE,BUY_REGULAR,,189.0,0,INSTALLED,0,0,1,25.0,1,75,231,2.0,0,TO_BE_DONE_UP
30,1070,HOUSE,APARTMENT_BLOCK,399000.0,FOR_SALE,BUY_REGULAR,,190.0,0,USA_HYPER_EQUIPPED,0,0,1,5.0,0,0,50,2.0,0,GOOD
31,9600,HOUSE,HOUSE,620000.0,FOR_SALE,BUY_REGULAR,,393.0,0,HYPER_EQUIPPED,0,1,1,40.0,1,434,569,2.0,0,GOOD
32,1000,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,,250.0,0,HYPER_EQUIPPED,0,0,1,10.0,1,50,119,2.0,0,GOOD
33,1030,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,,250.0,0,HYPER_EQUIPPED,0,0,1,10.0,1,50,119,2.0,0,GOOD
34,7911,HOUSE,HOUSE,280000.0,FOR_SALE,BUY_REGULAR,,250.0,0,SEMI_EQUIPPED,0,1,1,,0,0,1246,3.0,0,TO_BE_DONE_UP
35,4257,HOUSE,BUNGALOW,350000.0,FOR_SALE,BUY_REGULAR,,120.0,0,USA_HYPER_EQUIPPED,0,0,1,,1,600,990,4.0,0,AS_NEW
36,1560,HOUSE,EXCEPTIONAL_PROPERTY,1045000.0,FOR_SALE,BUY_REGULAR,,400.0,0,HYPER_EQUIPPED,0,0,1,88.0,1,1000,1408,4.0,0,AS_NEW
37,2850,HOUSE,HOUSE,290000.0,FOR_SALE,BUY_REGULAR,,112.0,0,INSTALLED,0,0,0,,1,74,137,3.0,0,JUST_RENOVATED
